GENESIS-Tabelle: 61111-0002
Consumer price index (incl. rates of change):;;;;
Germany, months;;;;
Consumer price index for Germany;;;;
Germany;;;;
;;Consumer price index;Change on previous year's month;Change on previous month
;;2015=100;in (%);in (%)
2005;April;85.8;+1.2;-0.2
2005;May;85.9;+1.1;+0.1
2005;June;86.1;+1.3;+0.2
2005;July;86.4;+1.5;+0.3
2005;August;86.5;+1.5;+0.1
2005;September;86.6;+1.9;+0.1
2005;October;86.7;+1.9;+0.1
2005;November;86.4;+1.6;-0.3
2005;December;87.1;+1.4;+0.8
2006;January;86.8;+1.8;-0.3
2006;February;87.2;+1.9;+0.5
2006;March;87.2;+1.4;-
2006;April;87.5;+2.0;+0.3
2006;May;87.5;+1.9;-
2006;June;87.7;+1.9;+0.2
2006;July;88.0;+1.9;+0.3
2006;August;87.9;+1.6;-0.1
2006;September;87.6;+1.2;-0.3
2006;October;87.6;+1.0;-
2006;November;87.6;+1.4;-
2006;December;88.3;+1.4;+0.8
2007;January;88.3;+1.7;-
2007;February;88.7;+1.7;+0.5
2007;March;88.9;+1.9;+0.2
2007;April;89.3;+2.1;+0.4
2007;May;89.3;+2.1;-
2007;June;89.4;+1.9;+0.1
2007;July;89.8;+2.0;+0.4
2007;August;89.7;+2.0;-0.1
2007;September;89.9;+2.6;+0.2
2007;October;90.1;+2.9;+0.2
2007;November;90.6;+3.4;+0.6
2007;December;91.1;+3.2;+0.6
2008;January;90.8;+2.8;-0.3
2008;February;91.2;+2.8;+0.4
2008;March;91.7;+3.1;+0.5
2008;April;91.5;+2.5;-0.2
2008;May;92.0;+3.0;+0.5
2008;June;92.3;+3.2;+0.3
2008;July;92.8;+3.3;+0.5
2008;August;92.5;+3.1;-0.3
2008;September;92.4;+2.8;-0.1
2008;October;92.2;+2.3;-0.2
2008;November;91.8;+1.3;-0.4
2008;December;92.1;+1.1;+0.3
2009;January;91.7;+1.0;-0.4
2009;February;92.2;+1.1;+0.5
2009;March;92.0;+0.3;-0.2
2009;April;92.1;+0.7;+0.1
2009;May;92.0;-;-0.1
2009;June;92.3;-;+0.3
2009;July;92.3;-0.5;-
2009;August;92.5;-;+0.2
2009;September;92.2;-0.2;-0.3
2009;October;92.3;+0.1;+0.1
2009;November;92.1;+0.3;-0.2
2009;December;92.9;+0.9;+0.9
2010;January;92.3;+0.7;-0.6
2010;February;92.7;+0.5;+0.4
2010;March;93.2;+1.3;+0.5
2010;April;93.2;+1.2;-
2010;May;93.2;+1.3;-
2010;June;93.2;+1.0;-
2010;July;93.3;+1.1;+0.1
2010;August;93.4;+1.0;+0.1
2010;September;93.3;+1.2;-0.1
2010;October;93.4;+1.2;+0.1
2010;November;93.6;+1.6;+0.2
2010;December;94.1;+1.3;+0.5
2011;January;93.9;+1.7;-0.2
2011;February;94.5;+1.9;+0.6
2011;March;95.0;+1.9;+0.5
2011;April;95.1;+2.0;+0.1
2011;May;95.0;+1.9;-0.1
2011;June;95.1;+2.0;+0.1
2011;July;95.3;+2.1;+0.2
2011;August;95.4;+2.1;+0.1
2011;September;95.6;+2.5;+0.2
2011;October;95.6;+2.4;-
2011;November;95.7;+2.2;+0.1
2011;December;96.0;+2.0;+0.3
2012;January;95.8;+2.0;-0.2
2012;February;96.5;+2.1;+0.7
2012;March;97.1;+2.2;+0.6
2012;April;96.9;+1.9;-0.2
2012;May;96.8;+1.9;-0.1
2012;June;96.7;+1.7;-0.1
2012;July;97.1;+1.9;+0.4
2012;August;97.4;+2.1;+0.3
2012;September;97.5;+2.0;+0.1
2012;October;97.5;+2.0;-
2012;November;97.6;+2.0;+0.1
2012;December;97.9;+2.0;+0.3
2013;January;97.4;+1.7;-0.5
2013;February;98.0;+1.6;+0.6
